"Campaign","Link Text","Description Line 1","Description Line 2","Final URL"
"DE_Search_Teilehandel_Beratung","Das System ansehen","Echte Produktansichten","Abläufe selbst entdecken","https://partsunion.de/lp/erp-autoteilehandel#system"
"DE_Search_Teilehandel_Beratung","OE-Ermittlung","Fahrzeugschein, VIN und OE","Direkt im Vorgang verbunden","https://partsunion.de/loesungen/oe-ermittlung"
"DE_Search_Teilehandel_Beratung","Einführung & Daten","Den Systemwechsel vorbereiten","Daten und Team zusammenbringen","https://partsunion.de/einfuehrung"
"DE_Search_Teilehandel_Beratung","Beratungsgespräch buchen","30 Minuten für deinen Betrieb","Termin direkt im Kalender","https://partsunion.de/beratung"
